Current UTC Time,Temp (ºC) [Temp sensor],Temp (ºC) [Pressure sensor],Temp (ºC) [Humidity sensor],Pressure (mbar) [Pressure sensor],Humidity (mbar) [Humidity sensor],Pitch (º) [IMU],Roll (º) [IMU],Yaw (º) [IMU],Pitch (º) [Accel sensor],Roll (º) [Accel sensor],Yaw (º) [Accel sensor],Pitch (º) [Gyro sensor],Roll (º) [Gyro sensor],Yaw (º) [Gyro sensor],North (%) [Compass sensor]
2021-05-01 07:23:45.859898,54.984375,55.09583333333333,54.984375,1012.99755859375,64.77734375,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,315.00235835207667
2021-05-01 07:23:48.240021,54.984375,54.9125,54.984375,1012.99072265625,64.9140625,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,315.00235835207667
2021-05-01 07:23:50.619010,55.015625,54.91041666666666,55.015625,1012.998291015625,64.921875,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,315.00235835207667
2021-05-01 07:23:52.983212,55.015625,55.15,55.015625,1012.9970703125,65.29296875,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,315.00235835207667
2021-05-01 07:23:55.345296,54.921875,55.0875,54.921875,1013.00537109375,65.0,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,315.00235835207667
2021-05-01 07:23:57.692786,54.953125,55.06875,54.953125,1012.99072265625,64.68359375,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,315.00235835207667
2021-05-01 07:24:00.032648,55.015625,54.952083333333334,55.015625,1012.995849609375,64.8984375,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,315.00235835207667
2021-05-01 07:24:02.413349,42.5625,14.227083333333333,42.5625,1012.998291015625,65.21875,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,315.00235835207667
2021-05-01 07:24:04.797513,17.0625,13.5125,17.0625,729.661865234375,62.546875,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,345.00078611735887,29.99842776528223,315.00235835207667,315.00235835207667
2021-05-01 07:24:07.157184,13.40625,13.39375,13.40625,729.630126953125,44.7265625,345.00078611735887,29.99842776528223,158.18951139523918,345.00078611735887,29.99842776528223,158.18951139523918,345.00078611735887,29.99842776528223,158.18951139523918,158.18951139523918
2021-05-01 07:24:09.512372,13.390625,13.329166666666666,13.390625,729.619140625,45.2109375,0.0,29.99842776528223,158.18951139523918,0.0,29.99842776528223,158.18951139523918,0.0,29.99842776528223,158.18951139523918,158.18951139523918
2021-05-01 07:24:11.854421,13.40625,13.458333333333332,13.40625,729.616943359375,44.546875,0.0,0.0,158.18951139523918,345.00078611735887,0.0,158.18951139523918,330.00157223471774,0.0,158.18951139523918,158.18951139523918
2021-05-01 07:24:14.195830,13.359375,13.325,13.359375,729.562255859375,45.04296875,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,158.18951139523918
2021-05-01 07:24:16.553766,13.359375,13.445833333333333,13.359375,729.520751953125,45.109375,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,158.18951139523918
2021-05-01 07:24:18.904891,13.40625,13.460416666666667,13.40625,729.588134765625,44.9296875,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,158.18951139523918
2021-05-01 07:24:21.254367,13.421875,13.462499999999999,13.421875,729.666015625,44.83203125,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,158.18951139523918
2021-05-01 07:24:23.620523,13.40625,13.4875,13.40625,729.535400390625,45.16796875,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,158.18951139523918
2021-05-01 07:24:25.980654,13.40625,13.366666666666667,13.40625,729.626708984375,44.70703125,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,158.18951139523918
2021-05-01 07:24:28.341278,13.421875,13.435416666666665,13.421875,729.581787109375,45.25390625,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,315.00235835207667,44.99764164792335,158.18951139523918,158.18951139523918
